row_id,chemical_group,observed_pIC50,chemical_weight,mean,nearest_neighbor,rf_descriptors,rf_retrospective_index
ACT-0113,CHEM-84cef84952496cb9,7.681936665,1.0,6.981637551727273,7.402304814,7.272806077320832,7.705165409949993
ACT-0114,CHEM-d1fff744f73710ac,7.698970004,1.0,7.374192064630209,8.175223538,7.752885900516253,7.677382239925002
ACT-0115,CHEM-2773fcab444beafd,6.931814138,1.0,6.981637551727273,7.787812396,7.1868151568,6.903840106987504
ACT-0116,CHEM-03f25696d23571b6,7.298432015,1.0,6.981637551727273,7.402304814,7.432139131255001,7.315261471024996
ACT-0117,CHEM-b1452b3185b46678,7.494850022,1.0,7.242218865080953,7.732828272,7.478968539464171,7.496551185887499
ACT-0118,CHEM-0592ca12564c7a80,7.882728704,1.0,6.981637551727273,7.402304814,6.937014085268328,7.8008444806375055
ACT-0119,CHEM-502adea8afc3ce4f,7.853871964,1.0,6.981637551727273,7.829738285,6.929317186587502,7.803607808700005
ACT-0120,CHEM-b8b7b0b64a3e54db,7.744727495,1.0,6.981637551727273,7.402304814,6.683273664746665,7.713740789812493
ACT-0121,CHEM-4cffa1ee093ef7c9,7.732828272,1.0,7.24040964179717,7.402304814,7.467514330718747,7.769710388787504
ACT-0122,CHEM-37c823f2ac118302,7.769551079,1.0,6.981637551727273,7.823908741,7.363360446987502,7.7939742011124995
ACT-0123,CHEM-b1afaa2f8f6df7c9,7.869666232,1.0,6.981637551727273,7.829738285,6.414358426539164,7.800016775862505
ACT-0124,CHEM-db1a73d07b1dba27,7.496209317,1.0,6.981637551727273,7.690369833,7.000993090487507,7.5060909564625025
ACT-0125,CHEM-6374d7615f692028,7.701146924,1.0,6.981637551727273,7.829738285,6.771670104850005,7.723664418299994
ACT-0126,CHEM-6af35978ad5acbaa,7.647817482,1.0,6.981637551727273,7.829738285,6.681080457187505,7.703886442387493
